Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,239,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"using (SQLiteDistributedLock.Acquire(""resource1"", TimeSpan.FromSeconds(10), database, new SQLiteStorageOptions() { DistributedLockLifetime = TimeSpan.FromSeconds(3) }))                  {                      DistributedLock lockEntry = database.DistributedLockRepository.FirstOrDefault(_ => _.Resource == ""resource1"");                      Assert.NotNull(lockEntry);                  }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,239,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"using (SQLiteDistributedLock.Acquire(""resource1"", TimeSpan.FromSeconds(10), database, new SQLiteStorageOptions() { DistributedLockLifetime = TimeSpan.FromSeconds(3) }))                  {                      DistributedLock lockEntry = database.DistributedLockRepository.FirstOrDefault(_ => _.Resource == ""resource1"");                      Assert.NotNull(lockEntry);                  }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,230,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"database.Database.Insert(new DistributedLock                  {                      Id = Guid.NewGuid().ToString(),                      Resource = ""resource1"",                      ExpireAt = DateTime.UtcNow.Add(TimeSpan.FromSeconds(3))                  });"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,214,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,Thread.Sleep(TimeSpan.FromSeconds(5));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,211,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"using (SQLiteDistributedLock.Acquire(""resource1"", TimeSpan.Zero, database, new SQLiteStorageOptions() { DistributedLockLifetime = TimeSpan.FromSeconds(3) }))                  {                      DateTime initialExpireAt = DateTime.UtcNow;                      Thread.Sleep(TimeSpan.FromSeconds(5));                        DistributedLock lockEntry = database.DistributedLockRepository.FirstOrDefault(_ => _.Resource == ""resource1"");                      Assert.NotNull(lockEntry);                      Assert.True(lockEntry.ExpireAt > initialExpireAt);                  }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,188,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"threads.ForEach(t => Assert.True(t.Join(TimeSpan.FromSeconds(120)), ""Thread is hanging unexpected""));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,167,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"using (SQLiteDistributedLock.Acquire(""resource1"", TimeSpan.FromSeconds(10), connection, new SQLiteStorageOptions()))                  {                      // Find out if any other threads managed to acquire the lock.                      var oldConcurrencyCounter = Interlocked.CompareExchange(ref concurrencyCounter, 1, 0);                        // The old concurrency counter should be 0 as only one thread should be allowed to acquire the lock.                      success[i] = oldConcurrencyCounter == 0;                        Interlocked.MemoryBarrier();                        // Hold the lock for some time.                      Thread.Sleep(100);                        Interlocked.Decrement(ref concurrencyCounter);                  }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,143,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,"Assert.InRange(startTime.Elapsed, TimeSpan.Zero, TimeSpan.FromSeconds(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,141,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,"using (SQLiteDistributedLock.Acquire(""resource1"", TimeSpan.FromMinutes(15), database, new SQLiteStorageOptions()))                  {                      Assert.InRange(startTime.Elapsed, TimeSpan.Zero, TimeSpan.FromSeconds(5));                  }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,137,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,mre.Wait(TimeSpan.FromSeconds(5));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\test\Hangfire.Storage.SQLite.Test\Hangfire.Storage.SQLite.Test.csproj,File,src\test\Hangfire.Storage.SQLite.Test\SQLiteDistributedLockFacts.cs,128,24,M:System.TimeSpan.FromSeconds(System.Double),,,,,Thread.Sleep(TimeSpan.FromSeconds(3));
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\samples\WebSample\WebSample.csproj,File,src\samples\WebSample\WebSample.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\samples\WebSample\WebSample.csproj,File,src\samples\WebSample\Program.cs,13,0,M:System.TimeSpan.FromSeconds(System.Double),,,,,"services.AddHangfire(configuration => configuration      .SetDataCompatibilityLevel(CompatibilityLevel.Version_180)      .UseSimpleAssemblyNameTypeSerializer()      .UseRecommendedSerializerSettings()      .UseSQLiteStorage(""Hangfire.db"")      .UseHeartbeatPage(checkInterval: TimeSpan.FromSeconds(10))      .UseJobsLogger());"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\samples\WebSample\WebSample.csproj,File,src\samples\WebSample\Program.cs,12,0,M:System.TimeSpan.FromSeconds(System.Double),,,,,"services.AddTransient<IBackgroundProcess, ProcessMonitor>(x => new ProcessMonitor(checkInterval: TimeSpan.FromSeconds(10)));"
